i: 0, row: 0, col: 0
i: 1, row: 0, col: 1
i: 2, row: 0, col: 2
i: 3, row: 0, col: 3
i: 4, row: 0, col: 4
i: 5, row: 0, col: 5
i: 6, row: 0, col: 6
i: 7, row: 0, col: 7
i: 8, row: 0, col: 8
i: 9, row: 0, col: 9
i: 10, row: 1, col: 0
i: 11, row: 1, col: 1
i: 12, row: 1, col: 2
i: 13, row: 1, col: 3
i: 14, row: 1, col: 4
i: 15, row: 1, col: 5
i: 16, row: 1, col: 6
i: 17, row: 1, col: 7
i: 18, row: 1, col: 8
i: 19, row: 1, col: 9
i: 20, row: 2, col: 0
i: 21, row: 2, col: 1
i: 22, row: 2, col: 2
i: 23, row: 2, col: 3
i: 24, row: 2, col: 4
i: 25, row: 2, col: 5
i: 26, row: 2, col: 6
i: 27, row: 2, col: 7
i: 28, row: 2, col: 8
i: 29, row: 2, col: 9
i: 30, row: 3, col: 0
i: 31, row: 3, col: 1
i: 32, row: 3, col: 2
i: 33, row: 3, col: 3
i: 34, row: 3, col: 4
i: 35, row: 3, col: 5
i: 36, row: 3, col: 6
i: 37, row: 3, col: 7
i: 38, row: 3, col: 8
i: 39, row: 3, col: 9
i: 40, row: 4, col: 0
i: 41, row: 4, col: 1
i: 42, row: 4, col: 2
i: 43, row: 4, col: 3
i: 44, row: 4, col: 4
i: 45, row: 4, col: 5
i: 46, row: 4, col: 6
i: 47, row: 4, col: 7
i: 48, row: 4, col: 8
i: 49, row: 4, col: 9
i: 50, row: 5, col: 0
i: 51, row: 5, col: 1
i: 52, row: 5, col: 2
i: 53, row: 5, col: 3
i: 54, row: 5, col: 4
i: 55, row: 5, col: 5
i: 56, row: 5, col: 6
i: 57, row: 5, col: 7
i: 58, row: 5, col: 8
i: 59, row: 5, col: 9
i: 60, row: 6, col: 0
i: 61, row: 6, col: 1
i: 62, row: 6, col: 2
i: 63, row: 6, col: 3
i: 64, row: 6, col: 4
i: 65, row: 6, col: 5
i: 66, row: 6, col: 6
i: 67, row: 6, col: 7
i: 68, row: 6, col: 8
i: 69, row: 6, col: 9
i: 70, row: 7, col: 0
i: 71, row: 7, col: 1
i: 72, row: 7, col: 2
i: 73, row: 7, col: 3
i: 74, row: 7, col: 4
i: 75, row: 7, col: 5
i: 76, row: 7, col: 6
i: 77, row: 7, col: 7
i: 78, row: 7, col: 8
i: 79, row: 7, col: 9
i: 80, row: 8, col: 0
i: 81, row: 8, col: 1
i: 82, row: 8, col: 2
i: 83, row: 8, col: 3
i: 84, row: 8, col: 4
i: 85, row: 8, col: 5
i: 86, row: 8, col: 6
i: 87, row: 8, col: 7
i: 88, row: 8, col: 8
i: 89, row: 8, col: 9
i: 90, row: 9, col: 0
i: 91, row: 9, col: 1
i: 92, row: 9, col: 2
i: 93, row: 9, col: 3
i: 94, row: 9, col: 4
i: 95, row: 9, col: 5
i: 96, row: 9, col: 6
i: 97, row: 9, col: 7
i: 98, row: 9, col: 8
i: 99, row: 9, col: 9
